word1	word2	mean(remove_extreme_annotator)
連帯した	連携した	7.8
連帯した	共同した	7.2
連帯した	協力した	7.8
連帯する	協力する	7
連動した	連携した	7.4
連動した	協力した	6.6
露出した	さらされた	7.8
露呈した	表面化した	6.6
露呈した	出てきた	6.8
露呈した	出現した	7.4
露呈した	発覚した	7.4
老熟した	円熟した	7
老熟した	成熟した	6.6
論議した	話し合った	7.6
論議した	言い争いした	6
論議した	検討した	6.4
論議した	審議した	6.6
論議した	議論した	9.2
論議する	討論する	8
論議する	討議する	8.4
論議する	話し合って検討する	8.2
論議する	審議する	6.6
論議する	議論する	9
論議する	話し合う	8
論争した	言い争いした	7.4
論争した	議論した	7.4
和らげた	緩和した	6.8
話し合いした	討議した	7.4
話し合いした	検討した	6.4
話し合いをした	話あった	8.8
話し合いをした	議論した	8.4
話し合いをする	話し合う	9.4
話し合いをする	議論する	8.6
話し合った	議論した	7.6
話し合った	討論した	7.6
話し合って検討する	議論する	7.4
話し合って検討する	討論する	7.8
揉んだ	した	0.4
揉んだ	もんだ	10
瞑った	つぶった	10
瞑る	つぶる	10
綺麗に見える	引き立つ	6.4
綺麗に見える	見栄えする	7.4
躊躇している	ためらっている	7.8
騙る	名乗る	3
見守る	見張る	7.4
アクセントになる	目立つ	8
アクセントになる	良く見える	6.8
アクセントになる	引き立つ	7.8
あしらう	飾る	5.2
あしらってる	ついている	3.6
あらわになった	持ち上がった	3.4
あらわになった	上がった	2.8
あらわになる	露呈する	8.6
ある	隠している	1
うかがう	見つける	2.6
うかがった	受けた	2.8
うかがった	聴いた	8.2
うつされた	罹った	7.6
うつる	罹る	8.2
うもれた	はまった	7.6
うもれた	入った	6
おさめた	留めた	5.8
おわる	無くなる	6.6
おわる	消える	6.8
お願いする	依頼する	8.4
お願いする	嘆願する	8.4
かざった	つけた	7.6
かすかな	消え入りそうな	7.6
ぐしゃぐしゃになった	跳ねた	3.4
ぐしゃぐしゃになった	荒れた	6.8
くばられた	配分された	8.8
くばられる	分け与える	8.4
コーディネートした	あしらった	5
こじらせた	ひいた	6.8
こすった	拭った	6.8
消えた	死亡した	6.4
消えた	他界した	7.2
いない	亡くなった	7.2
いない	逝った	7.2
いない	永眠した	6.2
いない	死去した	6.4
いない	亡くした	6.2
こんがらがった	込み入った	7.4
こんもりとした	盛り上がった	6.8
こんもりとした	少し盛り上がった	6.6
さかのぼる	順に見る	6.4
さまよった	揺れ動いた	6.2
さまよった	ゆらゆら動いた	6
さまよった	浮かんだ	5.4
しける	荒れる	8.6
じめじめした	うざったい	5.6
しめた	着けた	5.8
しゃくにさわる	怒る	6.8
せずにいる	外す	3.2
たぐった	なぞった	5.8
たどる	行く	5.6
ちりばめている	ついている	4.6
ちりばめている	使用している	4
ついている	使用している	5.8
つかまった	入った	4.4
つかまった	巻き込まれた	6
つけた	飾った	7.6
つけた	添えた	7.6
とらわれた	飲み込まれた	6.8
とらわれた	はまった	7.2
ないがしろにする	欠かす	5.6
ないがしろにする	外す	6.2
ないがしろにする	なくす	4
なおした	示した	2.4
にこにこした	微笑んだ	7.6
にじみ出る	映る	5.2
にじみ出る	出る	6.8
のせた	付け加えた	7.2
はさみこんだ	つかんだ	5.2
はずす	抜く	7.4
はまれば	当たれば	6.2
はめこむ	つける	6.4
はめられた	入った	5
はめる	通す	6.2
ひいた	感染した	7.4
ひいた	敷いた	7.2
ひいた	入れた	4.8
ひく	砕く	6
ひく	継承する	6.8
ひく	引き継ぐ	7.8
ひく	なくなる	4.8
お願いをする	熱願する	8.4
ぴったりと付いた	はまった	6.4
マッチする	合う	9.2
まとまった	荒れた	0.6
むき出しになった	突出した	6.6
もめた	争った	8.4
やめる	欠く	6
哀願する	お願いする	8.4
哀願する	願う	8.2
意味した	表した	7.6
一致する	合う	8.8
引きたった	あった	4.4
引きたった	合った	4.8
引きたった	似合った	5
引き合いにした	使った	6.8
引き締める	冷やす	3.6
引き立つ	見える	6.6
引用した	使用した	7.8
引率する	指揮する	7.2
隠し持った	持った	7.4
隠し持った	持ち合わせた	6.6
映える	調和する	7.4
映える	合う	7.8
映し出す	示す	7.2
円熟した	熟成した	7
回避する	取り除く	5.6
懐妊する	はらむ	8.8
開示する	提示する	7.6
拡充した	広げた	8.8
拡充した	拡張した	8.4
拡充した	発展した	6.2
拡充した	拡大した	7.8
拡充する	拡張する	8.6
拡張した	増やした	7.4
拡張して	広げて	8.6
患う	害している	6.2
感じられて	あって	3.8
緩めた	弱めた	6.6
緩やかにした	弱めた	7.2
緩和させる	ほころばせる	5.4
記帳された	掲載された	6.8
記入される	書かれる	9
記名した	載った	6.4
記名した	表示した	6.8
偽装した	演じた	6.6
議論した	検討した	8
議論する	話し合う	8.4
狂った	乱れた	6.8
敬遠する	無視する	7.2
敬遠する	排除する	5.8
欠く	取り除く	6
決まる	合う	5.8
結んだ	着用した	5.8
喧嘩をする	もめる	8.4
喧嘩をする	争う	9
喧嘩をする	決まらない	4.8
肩に乗せた	抱えた	5.2
見える	生きる	2.6
見るからに	どう見ても	8.6
言った	伝えた	7.8
戸惑う	躊躇する	6.2
口にした	言った	9
広げた	入れた	4
荒れる	争う	6.6
合致する	合う	9
合致する	一致する	9.4
告げた	称した	6.2
告げて	称した	7.6
困惑する	戸惑う	8.6
懇願する	お願いする	8.6
採られた	捕まった	7.8
採取された	捕まえた	6.8
採集された	取らされた	6
採集された	捕まえた	6.4
採集した	栽培した	3.4
載った	記述された	7.8
作用する	一致する	1.8
作用する	決まる	1.2
指ではさんだ	掴んだ	6
指で持った	掴んだ	7.2
指で持った	はさんだ	7
指揮する	引っ張る	4.4
指示した	指揮した	5.8
似合った	合った	6
持ち上がった	発覚した	3.8
持ち上げた	背負った	4.4
持ち上げた	持った	7
持ち上げた	担いだ	6
持っている	隠している	2
示した	現れた	3.2
辞退する	後退する	2.6
湿度があった	しめっていた	6.6
湿度があった	しっとりしていた	6
疾駆した	ダッシュした	7.4
取りいれて	合わせて	5
取りざたされた	上がった	3.4
取り合わせた	配置した	4
取り出す	採る	3.4
取り繕った	偽った	5.8
手繰る	行く	1.8
受諾した	認めた	4.4
授かる	はらむ	7.2
収集された	採集された	7.2
収集された	取らされた	4.8
収集した	調査した	4.6
充実した	拡大した	3
熟した	完成した	5.4
熟した	育ちきった	7.8
出して見せる	剥き出す	5.6
出ている	見えている	6.4
出る	見える	5.2
出る	見られる	4
処方した	与えた	5.6
書かれた	表示された	6.2
除外した	敬遠した	3.8
除外した	やめさせた	4
除外する	無視する	5.2
勝負した	挑戦した	7
昇天した	逝った	8.6
昇天した	死去した	8.6
消える	なくす	6.8
消える	去る	6.2
消失した	喪失した	6
笑った	にっこりした	8
上がった	登場した	5.6
上がった	取り沙汰された	4.8
上がった	出現した	4.4
上に行く	勝る	5.8
常備される	いつもいる	4.6
常備される	常駐される	4.4
飾った	使った	1.6
飾れた	合わせた	2.6
拭った	消し去った	4.2
拭った	消した	5.4
拭った	除いた	4.8
蝕まれた	弱めた	3
尻込みする	迷う	4.8
尻込みする	困る	2.8
伸張する	広げる	7
信仰した	信じした	7.2
信奉した	信じた	7.8
心に持った	持った	5
真似る	見せかける	5.6
真似をする	偽る	5.6
尽きる	止む	5.4
制御する	操縦する	5.4
成熟した	発展した	5.8
成熟した	しっかりした	6.2
成長した	しっかりした	5.8
絶滅した	消失した	6.2
戦った	臨んだ	6.2
戦った	挑んだ	7
潜めた	持つ	1
繕った	偽った	5.4
喪失した	無くなった	7.4
掃討した	排斥した	6.2
掃討した	撤退させた	6.4
挿入した	引用した	3.2
挿入した	使用した	3.6
走行した	走った	8.4
他界した	亡くした	8.6
妥協する	迎合する	5.2
妥協せず	流されず	8.2
待ちきれない	我慢できない	6.2
担いだ	持った	6.2
担いだ	載せた	4.8
探し求める	遡る	3.6
着飾った	装った	6.4
駐在する	常務する	5.6
調べた	たどった	4.8
調査した	採取した	4
調査した	取った	2
調剤した	出した	3.8
掴んだ	挟んだ	6
提示された	書いた	3.6
諦めた	譲歩した	5.6
諦めた	妥協した	6
撤回する	退却する	3
撤回する	撤退する	3.2
撤収する	退く	7.4
添えた	付け足した	6.8
添えた	交えた	4.4
添えた	使った	1.6
添付した	交えた	3.2
途切れた	なくなった	6.8
途絶える	いなくなる	6.2
途方にくれた	当惑した	7.6
当惑する	戸惑う	8.6
統率した	指導した	6.8
討論した	検討した	5
突出した	露出した	4.2
内在している	宿している	6.2
内在する	感じさせる	4.6
匂う	出る	2
匂っている	漂っている	5.2
入った	落ちた	3
入手された	取らされた	4
忍ばせる	潜ませる	6
悩んだ	躊躇した	6.4
納まった	はまった	3.4
廃止した	排除した	4
排斥した	敬遠した	4
排斥した	撤退した	2.8
背負った	運んだ	4
配った	あしらった	3.8
配った	割当した	5.4
配った	配慮した	3.6
配る	分割する	5
配れば	あしらえば	3.6
配給しない	分配しない	7
配置する	扱う	2.2
配布する	分ける	7
配分した	配慮した	3.2
配分しない	分けない	7.2
配分しよう	分けよう	7.2
配分する	分ける	7.4
配慮した	分けた	2.2
拍子抜けした	盛り下がった	6.2
発展した	完成した	5.4
抜かす	欠かす	3.4
反映される	具現化する	4.2
秘めた	持った	5.2
秘めている	持っている	5.4
秘められた	隠した	6
微笑した	にっこりした	7.6
漂った	浮かんだ	6
漂った	あった	2.4
表す	意味する	5.6
表に出る	見える	6.4
表れた	出てきた	7
表れた	出現した	7.6
表れる	生じる	5.8
表れる	映る	5.4
表顕する	ほめたたえる	5
表顕する	表彰する	5
表現した	イメージした	5.2
表示した	書いた	6
表示しました	言いました	3.4
表彰した	賞した	5.6
表面化した	出てきた	6.6
付いた	納まった	2
付け足す	付け加える	8.6
富む	あふれる	7
富んだ	満ち溢れた	7
富んだ	溢れる	7.2
浮かんだ	出現した	6.2
浮遊した	動いた	3.4
払った	消し去った	5.6
分割した	配分した	6
分割しよう	分けよう	7.8
分担される	配られる	4.6
分配した	与えた	6.4
分配した	割当した	6
分配しない	配らない	7.2
粉砕する	ひく	2.6
聞いた	受けた	3.2
変わっていく	違っていく	6.4
捕らえられた	採られた	5.4
補う	付け加える	6
補充した	拡大した	4
膨脹した	拡張した	6.4
翻弄された	陥った	4.2
満ちる	漂う	2
満ち溢れる	富む	6.8
無くす	軽視する	3
無くす	無視する	3.8
無くす	取り外す	5
名乗った	伝えた	4.8
明示する	表記する	7.2
明白になる	反映される	4.8
迷った	困った	5.4
優先する	勝つ	2.2
揺らした	混乱した	2.4
揺れ動いた	ふわふわした	4.4
揺れ動いた	浮かんだ	2.8
揺れ動いた	浮いた	3.8
揺れ動く	惑う	5
溶ける	絶える	2.4
落ち込んだ	はまった	3.4
乱れた	廃れた	2.2
乱れた	壊れた	3
立ち向かった	チャレンジした	7.4
流し込む	入れる	6.2
流し入れた	ひいた	2.4
流し入れた	広げた	2
隆起した	盛り上がった	8
了承した	決意した	4.2
連帯する	連携する	6
露出した	見られた	5
露出する	剥き出す	6.8
露出する	露呈する	7
惑う	乱れる	5
罹る	なる	4.4
騙された	はまった	3.2
騙されて	陥って	5.2
word1	word2	mean(remove_extreme_annotator)
あっけなく	苦労なく	4.8
あっけなく	ひとたまりもなく	5
あやしい	疑わしい	7.8
あやしい	怪しい	9.6
あやしく	疑わしく	8
あやしく	怪しく	10
あやしそう	怪しそう	10
いい加減に	荒々しく	5.8
いい匂いのする	芳ばしい	7
いかつくする	険しくする	7.2
いかつくする	怖くする	7.8
いかつくする	恐ろしくする	7.8
いかつくする	厳つくする	10
いぶかしく	怪しく	8
いぶかしく	疑わしく	8.2
いぶかしげ	怪しそう	7.8
いぶかしげ	あやしそう	8.4
うっとうしい	邪魔くさい	8.4
うっとうしい	面倒くさい	8.4
うっとうしい	わずらわしい	8.8
うっとうしく	じゃまくさく	9.2
うっとうしくて	うるさくて	7
うとましい	うっとうしい	8
うとましい	煩わしい	7.6
うとましい	わずらわしい	8.2
うるさく	激しく	3.6
うるさく	凄く	2.4
うるさく	騒がしく	7.8
うれしい	いい	5.8
うれしい	良い	6.2
うれしい	素晴らしい	6
うれしい	嬉しい	9.8
おいしく	芳ばしく	4.4
おかしい	尋常ではない	6.8
おかしい	おもしろおかしい	7.4
おかしくなって	弱くなって	2.4
おとなしい	慎ましやかな	6
おどろおどろしい	ものすごい	4.6
おどろおどろしい	恐ろしい	6.8
おめでたく	喜ばしく	9.2
おめでたく	めでたく	9.4
おもしろおかしい	面白い	7.8
おもしろおかしく	面白く	7.8
おもしろく	おもしろおかしく	6.6
おもしろく	面白おかしく	8
おもしろく	楽しく	6.6
おもしろく	面白く	10
かぐわしい	香ばしい	8.2
かぐわしい	芳しい	9.6
かぐわしく	芳しく	9.6
かぐわしく	香り良く	8.8
かぐわしく	香り高く	9
かっこわるかった	意気地なしだった	6.6
かなしい	悲しい	10
か細い	乏しい	6
か細い	弱々しい	8.2
か細い	か弱い	8
か細い	力ない	6.8
か細い	弱弱しい	8
か弱い	細い	4.6
か弱い	弱い	8.4
きつい	苦しい	7.2
きつい	厳しい	7.8
きつかった	つらかった	9
きつかった	厳しかった	8
きつかった	辛かった	9
きつきつな	狭い	6.8
きめ細かく	細かく	5.8
くやしい	不甲斐ない	6.4
くやしい	情けない	7
けたたましい	凄い	4.8
けたたましい	すさまじい	7
けたたましい	やかましい	8
けたたましい	ものすごい	6.2
けたたましい	物凄い	6.4
けたたましい	うるさい	8.8
けたたましい	騒がしい	8.8
けたたましい	すごい	5.2
けたたましい	騒々しい	8.8
けたたましい	甲高い	6.8
けたたましく	激しく	7.2
けたたましく	やかましく	8.4
けたたましく	大きく	6
けたたましく	慌ただしく	6.2
けたたましく	騒がしく	8.6
けたたましく	うるさく	8.4
さびしい	寂しい	10
しける	激しくなる	4.6
しょぼい	あっけない	6.8
しんどい	難しい	5.4
しんどい	つらい	7.6
しんどい	苦しい	7.2
しんどい	辛い	8
しんどい	厳しい	5.8
しんどい	きつい	8.2
しんどかった	きつかった	9
しんどかった	厳しかった	7.6
しんどかった	辛かった	8.8
すがすがしい	輝かしい	4
すがすがしい	素晴らしい	5.4
すがすがしい	すばらしい	6.4
すごい	すばらしい	6.4
すごかった	物凄かった	8.2
すごかった	激しかった	7.4
すごかった	早かった	5
すごく	大きく	4.8
すごく良い	輝かしい	6.4
すごく良い	すばらしい	8.2
すさまじい	すごい	6.8
すさまじい	すばらしい	3.8
すさまじい	甲高い	2.6
すさまじい	凄い	6.6
すさまじい	凄まじい	10
すさまじかった	すごかった	8.8
すさまじかった	激しかった	8
すさまじかった	物凄かった	8.8
すさまじかった	凄まじかった	10
すさまじく大きい	すさまじい	6.4
すばやく	素早く	10
すばらしい	よい	7.4
すばらしい	良い	7.2
ダッシュする	速く走る	8
たまらない	心地よい	5.4
たまらない	ちょうど良い	3.6
たやすく	ひとたまりもなく	6.4
つつましやか	小さな	5
つらい	きつい	8.2
つらい	厳しい	7.4
つらい	難しい	5.8
つらかった	辛かった	9.6
つらかった	厳しかった	8.2
つらかった	しんどかった	9.2
つらく	寂しく	4
つらく	切なく	4.8
つらく	辛く	10
とげとげしいかった	厳しかった	5.6
とてつもない	すさまじい	6
とてつもない	恐ろしい	5
とてつもない	ひどい	4.8
とても暑く	厳しい暑さ	8.2
ない	無い	10
はかなく	壊れやすく	7.8
はかなく	もろく	8.6
はかなく	弱く	7.4
バツが悪く	気まずく	7
バツが悪く	居づらく	8
ひどい	恐ろしい	6.4
ひとたまりもなく	苦労なく	5.6
ふさわしい	正しい	5.4
ふさわしい	好ましい	6.6
ふさわしい	良い	7.2
ふさわしい	いい	7.2
ほしかった	望ましい	5.2
みっともなかた	恥ずかしかった	8
みっともなかた	嘆かわしかった	6
むなしい	かなしい	6.4
むなしい	寂しい	6.8
むなしい	さびしい	5.6
むなしい	悲しい	6.2
むなしい	虚しい	10
むなしく	儚く	5.8
むなしく	寂しく	5.8
むなしく	悲しく	5.6
めんどくさい	込み入って煩わしい	8
めんどくさい	ややこしい	7
ものすごい	素晴らしい	5.2
ものすごい	とてつもない	6.8
ものすごい	凄い	7.4
ものすごい	すごい	7.4
ものすごい	すばらしい	6.4
もの凄い	すごい	7.6
もの凄い	凄い	7.8
もの凄い	激しい	7.4
もの凄い	すさまじい	8.8
もの凄い	ひどい	6.2
もの凄い	ものすごい	10
もろい	崩れやすい	6.8
もろい	割れやすい	5.2
もろい	壊れやすい	7
もろい	弱い	7
もろく	壊れやすく	6.6
もろく	儚く	6
もろく	崩れやすく	7.6
もろく	弱く	6.2
もろく	あっけなく	5.8
やかましい	騒々しい	7.8
やかましく	慌ただしく	6.6
やかましく	甲高く	6.8
やかましく	うるさく	8.6
やかましく	激しく	6.2
やかましく	騒がしく	8.6
やかましく	騒々しく	9
ややこしい	煩わしい	6.6
ややこしい	紛らわしい	5.4
ややこしい	難しい	6.6
ややこしい	複雑である	7.6
ややこしい	わかりにくい	7.2
ややこしい	細かい	5
ややこしい	面倒くさい	5.8
やるせない	切ない	7.6
やるせない	辛い	6
やるせない	つらい	7.6
やるせない	心苦しい	7
やるせない	悲しい	6.2
やるせない	苦しい	5.4
ゆるくして	緩くして	10
よい	ふさわしい	6.6
よい	正しい	7.2
よい	願わしい	6.8
よそよそしく	居心地悪く	6
わずらわしい	邪魔くさい	7
わずらわしい	煩わしい	10
わずらわしかった	うっとうしかった	7
わずらわしかった	煩わしかった	10
わずらわしく	めんどくさく	7.8
意気地なし	根性無し	8
鋭かった	厳しかった	3
鋭かった	とげとげしいかった	6.2
煙たく	居心地悪く	5.6
煙たく	気分悪く	5.2
汚れの無い	清い	7
汚れの無い	美しい	7
可笑しい	面白い	7
苛立たしげ	いまいましげ	7
華々しい	すごく良い	3.4
華々しい	素晴らしい	5
華々しい	良い	3.4
華々しい	すばらしい	4.8
華々しい	輝かしい	6.4
回した	甘くした	0.2
回りくどい	ややこしい	7.4
回りくどい	難しい	6.6
回りくどい	紛らわしい	7
快い	気持ちよい	8.2
快い	心地よい	8.2
快い	心地いい	8.2
快い	気持ち良い	8.2
快い	気持ちいい	8.2
快い	心地良い	8.2
快かった	気分よかった	6.2
快かった	気持ちよかった	8.2
快く	良く	6.4
快く	いい	6.4
快く	気前よく	5.6
快く	気分よく	7
快く	気持よく	7
拡大された	広くなった	6.6
拡張された	広くなった	6.4
楽しく	おもしろおかしく	7
楽しそう	おもしろおかしく	5.8
緩くした	甘くした	6.2
緩ませた	緩くした	6.2
緩めた	緩くした	7.8
緩めた	ゆるくした	7.6
緩めた	甘くした	6.4
緩める	緩くする	8
関係が悪く	気まずく	6.6
喜ばしい	好ましい	5.2
喜ばしい	うれしい	6.6
喜ばしい	良い	5.6
喜ばしい	望ましい	6.2
喜ばしい	願わしい	7
喜ばしい	いい	5.8
喜ばしい	嬉しい	6.8
喜ばしく	めでたく	7.4
嬉しい	望ましい	5.6
嬉しい	いい	4.4
嬉しい	良い	6
嬉しく	快く	4.4
嬉しく	良く	4
気まずい	苦しい	4.4
気まずい	居づらい	6.6
気まずい	気不味い	10
気まずく	気分悪く	4.8
気まずく	居づらく	7.2
気まずく	煙たく	3.8
気まずく	居心地悪く	7.6
気まずくない	不快ではない	4.8
気まずそう	居づらそう	7.2
気まずそう	ばつの悪そう	7.2
気まずそう	居心地の悪そう	6.6
気まずそう	居辛そう	6.8
気まずそう	バツの悪そう	7.8
気持ちいい	たまらない	5.6
気持ちいい	心地良い	7.4
気持ちいい	心地いい	7.4
気持ちいい	ちょうど良い	4.8
気持ちがいい	気持ち良い	9.2
気持ちがいい	快い	7.8
気持ちが良い	心地よい	8
気持ちが良い	気持ちいい	9.4
気持ちのいい	清々しい	6.6
気持ちのいい	気持ちよい	9.4
気持ちのいい	快い	7.6
気持ちのいい	気持ち良い	9.4
気持ちのいい	心地良い	8.2
気持ちのよい	気持ちいい	8
気持ちのよい	清々しい	7.2
気持ちのよい	心地よい	7.8
気持ちのよい	気持ち良い	9.4
気持ちのよい	快い	7.8
気持ちのよい	気持ちよい	9.4
気持ちのよい	心地良い	8.2
気持ちの良い	快い	7.2
気持ちの良い	気持ちよい	9.4
気持ちの良い	清々しい	7
気持ちの良い	ちょうど良い	5
気持ちの良い	気持ち良い	9.4
気持ちの良い	心地良い	8
気持ちの良い	気持ちいい	9.4
気持ちよい	たまらない	5
気持ちよい	ちょうど良い	6
気持ちよい	心地よい	8.2
気持ちよい	心地良い	8
気持ちよい	気持ちいい	9.4
気持ちよい	心地いい	8.2
気持ちよかった	心地よかった	8
気持ちよく	快く	6.6
気持ちよく	気前よく	4.4
気持ちよく	気分よく	7
気持ちよく	心地よく	7.4
気持ち良い	気持ちよい	9.4
気持ち良い	たまらない	6.2
気持ち良い	ちょうど良い	6
気持ち良い	心地良い	8
気持ち良い	心地よい	8
気持ち良い	気持ちいい	9.6
気持ち良く	快く	7
気持ち良く	気分よく	6.6
気持ち良く	心地よく	8
気持ち良く	気持ちよく	9.8
気持ち良く	気持よく	10
気持よかった	気分よかった	7.8
気持よく	気分よく	7.8
気前よく	気分よく	6.6
気難しい	難しそう	5.4
気難しい	険しい	5.2
気難しい	厳しい	5.4
気不味い	良くない	4.2
気不味い	苦しい	3.4
気分が悪く	居心地悪く	5.8
気分が悪く	気分悪く	8.8
気分のいい	快い	7.4
気分のいい	気持ちよい	8.4
気分のいい	清々しい	7.4
気分のいい	心地良い	7.8
気分のいい	気持ち良い	8.4
気分のよい	気持ちいい	7.4
気分のよい	快い	7.8
気分のよい	気持ち良い	8.4
気分のよい	気持ちよい	8.4
気分のよい	心地良い	8
気分のよい	心地よい	8.2
気分のよい	清々しい	7.2
気分の悪い	苦しい	6.8
気分の悪い	良くない	6.2
気分の悪い	気不味い	4.2
気分の悪い	気まずい	4.8
気分の悪い	うっとうしい	5.8
輝かしい	すごい	5.4
輝かしい	良い	5.4
輝かしい	よい	5.4
輝かしい	すばらしい	7.2
輝かしい	明るい	6.4
輝かしい	素晴らしい	7
輝かしく	華々しく	7
疑わしい	怪しい	7.6
疑わしく	怪しく	6.6
疑わしそう	いぶかしげ	6.4
疑わしそう	あやしそう	7.8
疑わしそう	怪しそう	8
久しい	懐かしい	6.2
久しい	長い	6.2
久しい	長くなる	5.6
久しく	長く	6.4
居づらそう	ばつの悪そう	6.2
居づらそう	居心地の悪そう	7.4
居づらそう	居辛そう	10
居心地がわるい	良くない	3
居心地がわるい	気まずい	6.8
居心地が悪い	良くない	5.6
居心地が悪い	居づらい	8
居心地が悪い	苦しい	6.2
居心地が悪い	気まずい	7.4
居心地が悪く	よそよそしく	5
居心地が悪く	気まずく	7.2
居心地が悪く	居づらく	7.8
居心地の悪い	良くない	5.4
居心地の悪い	気まずい	7.4
居心地悪く	気分悪く	5.8
居辛そう	ばつの悪そう	6
居辛そう	バツの悪そう	6.8
虚しい	しょぼい	4.6
虚しい	あっけない	6
虚しい	さびしい	6.2
虚しい	侘しい	7
虚しい	寂しい	6.6
強い	激しい	4.6
強い	強すぎる	6
強ばらせる	厳つくする	4
強ばらせる	恐ろしくする	2.2
強ばらせる	いかつくする	5
恐ろしくする	怖くする	5.6
狭苦しい	きつい	6
狭苦しそうな	小さな	5.6
狭苦しそうな	狭い	6.8
苦しい	つらい	7
苦しい	難しい	5.2
苦しい	厳しい	5.8
苦しい	悲しい	4.2
苦しい	良くない	4.8
苦しく	切なく	5.6
苦労なく	たやすく	6.6
激しかった	早かった	2
激しく	大きく	4.6
激しく	強く	5.8
隙間なく	余すところなく	7.6
堅苦しげな	堅苦しい	7.8
堅苦しげな	息苦しい	6.2
肩身の狭い	堅苦しげな	4
肩身の狭い	息苦しい	5
賢い	正しい	5.4
賢い	良い	6.4
険しい	難しい	5.2
険しい	きつい	6.8
険しい	厳しい	6.8
険しかった	とげとげしいかった	6
険しく	厳しく	5.8
険しく	怖く	3.2
険しくする	厳しくする	4.6
厳しい	激しい	5.4
厳しく	厳しくて	8
厳しくする	厳つくする	5.6
厳つくする	恐ろしくする	6.6
厳つくする	怖くする	6.2
厳つくする	険しくする	6.6
言うまでもなく	いうまでもなく	10
胡散臭い	怪しい	7
胡散臭い	疑わしい	6.4
後退した	おかしくなった	1.2
好ましい	よい	6.6
好ましい	正しい	5.2
好ましい	良い	6.4
広がった	広くなった	6.6
広くなった	大きくされた	7.4
広げた	緩くした	4.8
広げた	ゆるくした	5.8
慌ただしく	うるさく	5.4
慌ただしく	騒がしく	6
甲高い	うるさい	4.8
甲高い	すごい	1.4
甲高く	慌ただしく	1.8
甲高く	大きく	4.6
甲高く	激しく	4.8
甲高く	騒々しく	6.2
甲高く	うるさく	5.8
甲高く	騒がしく	6.4
荒々しい	丁寧ではない	4.2
荒々しい	危ない	3
荒々しい	荒い	6.8
荒々しい	激しい	7
荒々しい	荒っぽい	6.6
荒々しく	怖く	2.2
荒々しく	厳しく	2.4
荒々しく	激しく	5.4
荒々しく	険しく	4.8
荒い	丁寧ではない	6.4
荒っぽい	激しい	5
荒っぽい	危ない	3.4
荒っぽい	荒い	6
荒っぽく	激しく	6.4
荒っぽく	荒々しく	7.2
香ばしい	芳しい	6.8
香ばしい	美味しそうな	5.2
香ばしい	香り高い	7
香ばしく	芳しく	8
香ばしく	かぐわしく	7.6
香ばしく	香り良く	7.8
香ばしく	香り高く	8
香ばしく	香りよく	8
香ばしくて	芳ばしくて	8.4
根性無し	いくじなし	8.2
細かく	余すところなく	5.4
細かく	隙間なく	5.4
細かく	詳しく	7.4
邪魔くさい	煩わしい	8.8
邪魔くさい	うとましい	7.6
弱々しい	情けない	3
弱々しい	貧しい	4
弱々しい	少ない	4
弱々しい	細い	4.6
弱々しい	小さい	3.2
弱々しい	弱い	6.4
弱々しい	乏しい	5.2
弱々しい	か弱い	7.6
弱い	壊れやすい	7.2
弱い	あまりない	4.2
弱い	割れやすい	5.6
弱くなった	弱体化した	8.4
弱弱しい	弱い	7
弱弱しい	割れやすい	4
弱弱しい	小さい	5.8
弱弱しい	細い	5.8
弱弱しい	力ない	7.8
弱弱しい	か弱い	8.4
弱弱しい	もろい	8
弱弱しい	崩れやすい	7.4
弱弱しい	弱々しい	10
手加減のない	厳しい	7.2
手厚く	礼儀正しく	3.8
手荒い	荒々しい	6.6
手荒い	荒っぽい	8.2
手早く	早く	7.2
手早く	すばやく	7
手早く	手際よく	7.6
手早く	素早く	7.2
所狭しと	隙間なく	8.2
暑苦しく	じゃまくさく	4.8
暑苦しく	うっとうしく	5.2
小さい	弱い	5.6
小さな	つつましやかな	4.4
小高い	高い	4.4
少し高い	高い	4.2
少ない	貧しい	4.6
少ない	乏しい	7.2
少ない	弱い	4.2
上手に早く	手際よく	8.2
情けない	恥ずかしい	5
情けない	根性無し	5.8
情けなかった	みっともなかた	6.8
情けなかった	悲しい	4.8
情けなかった	意気地なしだった	5.4
情けなかった	恥ずかしかった	5.4
情けなかった	かっこわるかった	6.8
情けなかった	不甲斐なかった	6.2
情けなかった	嘆かわしかった	7
情けなかった	いくじなかった	6.4
情けなく	恥ずかしく	4
情けなく	みっともなく	6.4
情けなく	虚しく	5
情けなく	不甲斐なく	6.2
色濃くなる	強く出る	7.2
侵された	弱くなった	3.4
心苦しい	苦しい	5.8
心苦しい	心憂い	6.6
心苦しい	しんどい	5
心苦しい	きつい	5
心苦しい	つらい	5.6
心苦しい	切ない	5.6
心苦しい	辛い	5.6
心苦しく	寂しく	4.2
心苦しく	悲しく	5
心苦しく	切なく	5.4
心苦しく	辛く	5.2
心苦しく	つらく	5.4
心地の悪い	居づらい	8.4
心地の悪い	気まずい	6.4
心地よい	気持ちいい	8
心地よい	ちょうど良い	6
心地よかった	気分よかった	8.4
心地よかった	気持よかった	9.4
心地よく	気分よく	8.4
心地よく	気持よく	9.4
神々しい	輝かしい	5.2
辛い	苦しい	8
辛い	きつい	7.8
辛い	難しい	4.8
辛い	厳しい	6.6
辛い	心憂い	6.4
辛い	つらい	10
